"","station_id","checkin_total","checkout_total","street1","street2","at_ttc"
"1","7000",356,362,"Fort York  Blvd","Capreol Ct",FALSE
"2","7001",295,229,"Lower Jarvis St","The Esplanade",FALSE
"3","7002",270,293,"St. George St","Bloor St W",FALSE
"4","7003",183,187,"Madison Ave","Bloor St W",FALSE
"5","7004",260,239,"University Ave","Elm St",FALSE
"6","7005",174,160,"King St W","York St",FALSE
"7","7006",615,603,"Bay St","College St (East Side)",FALSE
"8","7007",375,400,"College St","Huron St",FALSE
"9","7008",97,100,"Wellesley St","Queen's Park Cres",FALSE
"10","7009",381,294,"King St E","Jarvis St",FALSE
"11","7010",100,100,"King St W","Spadina Ave",FALSE
"12","7011",270,272,"Wellington St W","Portland St",FALSE
"13","7012",344,324,"Elizabeth St","Edward St (Bus Terminal)",FALSE
"14","7013",286,263,"Scott St","The Esplanade",FALSE
"15","7014",434,450,"Sherbourne St","Carlton St (Allan Gardens)",FALSE
"16","7015",145,137,"King St W","Bay St (West Side)",FALSE
"17","7016",395,345,"Bay St","Queens Quay W (Ferry Terminal)",FALSE
"18","7017",474,469,"Widmer St","Adelaide St W",FALSE
"19","7018",102,122,"Bremner Blvd","Rees St",FALSE
"20","7019",145,125,"Temperance St. Station","",TRUE
"21","7020",263,265,"Phoebe St","Spadina Ave",FALSE
"22","7021",168,164,"Bay St","Albert St",FALSE
"23","7022",458,457,"Simcoe St","Queen St W",FALSE
"24","7023",208,237,"College St","Borden St",FALSE
"25","7024",181,222,"Dundonald St","Church St",FALSE
"26","7025",239,309,"Ted Rogers Way","Bloor St E",FALSE
"27","7026",232,249,"Bay St","St. Joseph St",FALSE
"28","7027",506,460,"Beverley  St","Dundas St W",FALSE
"29","7028",465,392,"Gould St","Mutual St",FALSE
"30","7029",230,221,"Bay St","Bloor St W (East Side)",FALSE
"31","7030",386,447,"Bay St","Wellesley St W",FALSE
"32","7031",175,260,"Jarvis St","Isabella St",FALSE
"33","7032",151,167,"Augusta Ave","Dundas St W",FALSE
"34","7033",423,400,"Union Station","",TRUE
"35","7034",245,265,"Church St","Bloor St E",FALSE
"36","7035",242,232,"Queen St W","Ossington Ave",FALSE
"37","7036",99,102,"Trinity St /Front St E","",FALSE
"38","7037",613,584,"Bathurst St","Dundas St W",FALSE
"39","7038",374,334,"Dundas St W","Yonge St",FALSE
"40","7039",145,150,"Simcoe St","Michael Sweet Ave - SMART",FALSE
"41","7040",233,262,"Euclid Ave","Bloor St W",FALSE
"42","7041",255,261,"Edward St","Yonge St",FALSE
"43","7042",397,526,"Sherbourne St","Wellesley St E",FALSE
"44","7043",355,295,"Queens Quay W","Lower Simcoe St",FALSE
"45","7044",331,399,"Church St","Alexander St",FALSE
"46","7045",487,412,"Bond St","Queen St E",FALSE
"47","7046",378,370,"Niagara St","Richmond St W",FALSE
"48","7047",542,437,"University Ave","Gerrard St W (East Side)",FALSE
"49","7048",126,150,"Front St W","Yonge St (Hockey Hall of Fame)",FALSE
"50","7049",652,585,"Queen St W","Portland St",FALSE
"51","7050",70,99,"Richmond St E","Jarvis St Green P",FALSE
"52","7051",288,294,"Wellesley St E","Yonge St (Green P)",FALSE
"53","7052",207,194,"Wellington St W","Bay St",FALSE
"54","7053",127,130,"Metro Hall Plaza","",FALSE
"55","7054",324,329,"Navy Wharf Ct.","Bremner Blvd.",FALSE
"56","7055",296,292,"Jarvis St","Carlton St",FALSE
"57","7056",177,182,"Parliament St","Gerrard St",FALSE
"58","7057",117,86,"Simcoe St","Wellington St South",FALSE
"59","7058",90,84,"Huron/ Harbord St","",FALSE
"60","7059",262,299,"Front St W","Blue Jays Way",FALSE
"61","7060",534,482,"Princess St","Adelaide St E",FALSE
"62","7061",195,231,"Dalton Rd","Bloor St W",FALSE
"63","7062",202,227,"University Ave","College St (West)",FALSE
"64","7063",144,155,"Queen's Park","Bloor St W",FALSE
"65","7064",122,121,"51 Parliament St","",FALSE
"66","7065",350,334,"Dundas St E","Parliament St",FALSE
"67","7066",170,218,"Willcocks St","St. George St",FALSE
"68","7067",172,142,"Yonge St","Harbour St",FALSE
"69","7068",13,19,"Dockside Dr","Queens Quay E (Sugar Beach)",FALSE
"70","7069",262,247,"Queen St W","Spadina Ave",FALSE
"71","7070",138,90,"25 York St – Union Station South","",TRUE
"72","7071",61,128,"161 Bleecker St (South of Wellesley)","",FALSE
"73","7072",406,368,"Fleet St","Bathurst St",FALSE
"74","7073",319,295,"Spadina Ave","Fort York Blvd",FALSE
"75","7074",148,104,"King St E","Church St",FALSE
"76","7075",207,212,"Queens Quay W","Dan Leckie Way",FALSE
"77","7076",509,486,"York St","Queens Quay W",FALSE
"78","7077",194,212,"College Park South","",FALSE
"79","7078",500,488,"College St","Major St",FALSE
"80","7079",423,447,"McGill St","Church St",FALSE
"81","7083",60,55,"Danforth Ave","Barrington Ave",FALSE
"82","7084",26,31,"High Park - Grenadier Cafe","",FALSE
"83","7085",51,39,"Danforth Ave","Westlake Ave",FALSE
"84","7086",49,68,"High Park - West Rd","",FALSE
"85","7087",87,89,"Danforth Ave","Aldridge Ave",FALSE
"86","7088",95,98,"Danforth Ave","Coxwell Ave",FALSE
"87","7089",599,611,"Church St ","Wood St",FALSE
"88","7090",53,64,"Danforth Ave","Lamb Ave",FALSE
"89","7091",55,58,"Donlands Station","",TRUE
"90","7092",66,67,"Pape Subway Green P","",FALSE
"91","7093",79,96,"Danforth Ave","Gough Ave",FALSE
"92","7094",56,56,"Chester Station (Green P)","",TRUE
"93","7095",174,182,"Danforth Ave","Ellerbeck St",FALSE
"94","7096",127,96,"Boston Ave","Queen St E",FALSE
"95","7097",104,99,"Riverdale Park North (Broadview Ave)","",FALSE
