"stName","stNumber","hasRental"
"king st w",400,"NO"
"college st",882,"NO"
"lake shore blvd w",3731,"NO"
"queen st e",1292,"NO"
"jane st",2111,"NO"
"bathurst st",913,"YES"
"queen st e",1882,"YES"
"danforth ave",1510,"YES"
"bloor st w",1292,"NO"
"dundas st w",3096,"NO"
"broadview ave",235,"NO"
"yonge st",1970,"NO"
"augusta ave",309,"NO"
"carlaw ave",388,"NO"
"sorauren ave",345,"NO"
"danforth ave",701,"NO"
"bloor st w",2447,"NO"
"queen st w",761,"NO"
"lake shore blvd w",2749,"NO"
"college st",926,"NO"
"danforth ave",281,"NO"
"bloor st w",863,"NO"
"parliament st",444,"NO"
"kingston rd",615,"NO"
"lawrence ave e",1894,"NO"
"queen st w",625,"NO"
"bloor st w",3876,"NO"
"annette st",521,"NO"
"front st e",47,"NO"
"danforth ave",1374,"NO"
"bloor st w",678,"NO"
"college st",1073,"NO"
"davenport rd",1144,"NO"
"dupont st",1611,"NO"
"ossington ave",127,"NO"
"yonge st",2063,"NO"
"john st",180,"NO"
"queen st e",1592,"NO"
"queen st e",890,"NO"
"roncesvalles ave",213,"NO"
"bloor st w",2007,"NO"
"dufferin st",2055,"NO"
"st clair ave w",625,"NO"
"bloor st w",1222,"NO"
"yonge st",2106,"YES"
"king st w",383,"NO"
"dundas st w",2170,"NO"
"bayview ave",550,"YES"
"dundas st w",4231,"NO"
"yonge st",2665,"NO"
"jane st",612,"NO"
"donlands ave",389,"NO"
"queen st w",779,"NO"
"queen st e",242,"NO"
"bathurst st",156,"NO"
"king st w",401,"NO"
"dundas st w",594,"NO"
"bloor st w",412,"YES"
"queen st w",650,"NO"
"bloor st w",2128,"NO"
"bloor st w",2214,"NO"
"dundas st w",778,"NO"
"geary ave",80,"NO"
"roncesvalles ave",381,"YES"
"don mills rd",896,"NO"
"avenue rd",1889,"NO"
"bayview ave",1541,"NO"
"yonge st",2454,"NO"
"the west mall",25,"NO"
"bloor st w",1204,"YES"
"bloor st w",517,"NO"
"queen st e",651,"NO"
