"id","checkinAvg","checkoutAvg"
7000,356,362
7001,295,229
7002,270,293
7003,183,187
7004,260,239
7005,174,160
7006,615,603
7007,375,400
7008,97,100
7009,381,294
7010,100,100
7011,270,272
7012,344,324
7013,286,263
7014,434,450
7015,145,137
7016,395,345
7017,474,469
7018,102,122
7019,145,125
7020,263,265
7021,168,164
7022,458,457
7023,208,237
7024,181,222
7025,239,309
7026,232,249
7027,506,460
7028,465,392
7029,230,221
7030,386,447
7031,175,260
7032,151,167
7033,423,400
7034,245,265
7035,242,232
7036,99,102
7037,613,584
7038,374,334
7039,145,150
7040,233,262
7041,255,261
7042,397,526
7043,355,295
7044,331,399
7045,487,412
7046,378,370
7047,542,437
7048,126,150
7049,652,585
7050,70,99
7051,288,294
7052,207,194
7053,127,130
7054,324,329
7055,296,292
7056,177,182
7057,117,86
7058,90,84
7059,262,299
7060,534,482
7061,195,231
7062,202,227
7063,144,155
7064,122,121
7065,350,334
7066,170,218
7067,172,142
7068,13,19
7069,262,247
7070,138,90
7071,61,128
7072,406,368
7073,319,295
7074,148,104
7075,207,212
7076,509,486
7077,194,212
7078,500,488
7079,423,447
7083,60,55
7084,26,31
7085,51,39
7086,49,68
7087,87,89
7088,95,98
7089,599,611
7090,53,64
7091,55,58
7092,66,67
7093,79,96
7094,56,56
7095,174,182
7096,127,96
7097,104,99
7098,170,161
7099,186,146
7100,488,452
7101,197,155
7102,320,300
7103,216,197
7104,344,302
7105,111,80
7106,54,40
7107,59,48
7108,126,121
7109,153,166
7110,202,197
7111,280,273
7112,33,30
7113,273,279
7114,323,343
7115,189,231
7116,57,67
7117,63,74
7118,124,109
7119,210,225
7120,163,154
7121,577,573
7122,61,46
7123,64,63
7124,222,197
7126,258,254
7127,102,118
7128,50,57
7129,156,162
7130,127,157
7131,195,207
7132,57,68
7133,82,80
7134,82,100
7135,137,134
7136,126,114
7137,36,32
7138,75,65
7139,66,59
7140,137,139
7141,78,106
7142,56,51
7143,94,99
7144,98,105
7146,69,109
7147,55,46
7148,231,215
7149,139,139
7150,150,139
7151,98,124
7152,98,105
7153,222,227
7154,157,170
7155,107,108
7156,111,127
7157,48,60
7158,162,149
7160,308,295
7161,101,99
7162,285,253
7163,415,437
7164,366,361
7167,158,143
7168,433,401
7169,91,102
7170,52,83
7171,344,345
7172,81,95
7173,77,99
7174,124,108
7175,323,311
7176,280,286
7177,337,330
7178,103,99
7179,79,82
7180,70,83
7181,40,57
7182,90,94
7183,161,160
7184,124,122
7188,85,96
7189,210,193
7190,95,104
7191,154,161
7192,111,129
7193,250,213
7194,75,87
7195,179,206
7196,65,84
7197,132,131
7198,128,119
7199,440,419
7202,171,150
7203,362,339
7204,290,272
7205,140,131
7206,167,162
7207,341,335
7208,132,143
7209,94,77
7210,52,36
7211,319,290
7216,157,152
7217,304,298
7220,120,114
7221,24,34
7222,158,143
7223,61,28
