"","id","stNumber","stName","type"
"1",7625651,70,"the pond rd","Rack"
"2",7625652,8,"assiniboine rd","Rack"
"3",7625653,8,"kensington ave","Ring"
"4",7625654,21,"canniff st","Ring"
"5",7625655,359,"king st e","Ring"
"6",7625656,1960,"queen st e","Ring"
"7",7625657,87,"avenue rd","Ring"
"8",7625658,50,"blue jays way","Ring"
"9",7625659,1313,"bloor st w","Ring"
"10",7625660,189,"dundas st e","Ring"
"11",7625661,145,"queens quay w",NA
"12",7625662,162,"mc caul st","Ring"
"13",7625663,911,"davenport rd",NA
"14",7625664,20,"lombard st",NA
"15",7625665,8,"assiniboine rd","Rack"
"16",7625666,50,"western battery rd",NA
"17",7625667,105,"victoria st",NA
"18",7625668,131,"dunn ave","Ring"
"19",7625669,180,"elizabeth st",NA
"20",7625670,1556,"queen st w",NA
"21",7625671,46,"wellesley st e","Ring"
"22",7625672,2,"sussex ave",NA
"23",7625673,55,"oakmount rd","Rack"
"24",7625674,59,"spadina rd",NA
"25",7625675,2078,"queen st e",NA
"26",7625676,324,"richmond st w","Ring"
"27",7625677,794,"mount pleasant rd","Ring"
"28",7625678,125,"bathurst st",NA
"29",7625679,77,"cottingham st",NA
"30",7625680,203,"kingston rd",NA
"31",7625681,61,"hanna ave",NA
"32",7625682,2980,"bloor st w",NA
"33",7625684,3080,"yonge st","Ring"
"34",7625685,145,"queens quay w",NA
"35",7625686,2,"jackes ave","Ring"
"36",7625687,563,"crawford st",NA
"37",7625688,2,"sussex ave",NA
"38",7625689,251,"sorauren ave","Rack"
"39",7625690,8,"assiniboine rd",NA
"40",7625691,1229,"queen st w",NA
"41",7625692,1000,"college st","Ring"
"42",7625693,1262,"bay st","Ring"
"43",7625694,998,"college st","Ring"
"44",7625695,998,"college st","Ring"
"45",7625696,924,"college st","Ring"
"46",7625697,924,"college st","Ring"
"47",7625698,2340,"yonge st","Ring"
"48",7625699,3042,"yonge st","Ring"
"49",7625700,3042,"yonge st","Ring"
"50",7625701,2340,"yonge st","Ring"
"51",7625702,2340,"yonge st","Ring"
"52",7625703,2340,"yonge st","Ring"
"53",7625704,2340,"yonge st","Ring"
"54",7625705,2340,"yonge st","Ring"
"55",7625706,1351,"dufferin st","Ring"
"56",7625707,1729,"bloor st w","Ring"
"57",7625708,2461,"bloor st w","Ring"
"58",7625709,499,"king st w","Ring"
"59",7625710,36,"blue jays way","Ring"
"60",7625711,36,"blue jays way","Ring"
"61",7625712,36,"blue jays way","Ring"
"62",7625713,1075,"queen st e","Ring"
"63",7625714,1075,"queen st e","Ring"
"64",7625715,1075,"queen st e","Ring"
"65",7625716,1075,"queen st e","Ring"
"66",7625717,710,"spadina ave","Ring"
"67",7625718,710,"spadina ave","Ring"
"68",7625719,169,"harbord st","Ring"
"69",7625720,169,"harbord st","Ring"
"70",7625721,93,"harbord st","Ring"
"71",7625722,410,"college st","Ring"
"72",7625723,142,"bathurst st","Ring"
"73",7625724,82,"bathurst st","Ring"
"74",7625725,398,"adelaide st w","Ring"
"75",7625726,30,"nelson st","Ring"
"76",7625727,30,"nelson st","Ring"
"77",7625728,30,"nelson st","Ring"
"78",7625729,30,"nelson st","Ring"
"79",7625730,30,"nelson st","Ring"
"80",7625731,30,"nelson st","Ring"
"81",7625732,42,"pardee ave","Ring"
"82",7625733,42,"pardee ave","Ring"
"83",7625734,100,"richmond st w","Ring"
"84",7625735,145,"richmond st w","Ring"
"85",7625736,145,"richmond st w","Ring"
"86",7625737,145,"richmond st w","Ring"
"87",7625738,145,"richmond st w","Ring"
"88",7625739,75,"simcoe st","Ring"
"89",7625740,75,"simcoe st","Ring"
"90",7625741,75,"simcoe st","Ring"
"91",7625742,69,"queen st e",NA
"92",7625743,102,"atlantic ave",NA
"93",7625744,145,"queens quay w",NA
"94",7625745,61,"hanna ave",NA
"95",7625746,258,"christie st",NA
"96",7625747,433,"royal york rd",NA
"97",7625748,238,"front st e","Ring"
"98",7625749,238,"front st e","Ring"
"99",7625750,238,"front st e","Ring"
"100",7625751,238,"front st e","Ring"
"101",7625752,260,"front st e","Ring"
"102",7625753,260,"front st e","Ring"
"103",7625754,260,"front st e","Ring"
"104",7625755,260,"front st e","Ring"
"105",7625756,41,"avenue rd","Ring"
"106",7625757,36,"avenue rd","Ring"
"107",7625758,36,"avenue rd","Ring"
"108",7625759,36,"avenue rd","Ring"
"109",7625763,490,"sherbourne st","Ring"
"110",7625764,145,"queen st e","Ring"
"111",7625765,181,"bedford rd","Ring"
"112",7625766,181,"bedford rd","Ring"
"113",7625770,55,"gateway blvd","Ring"
"114",7625771,55,"gateway blvd","Ring"
"115",7625772,874,"eglinton ave e","Ring"
"116",7625773,992,"st clair ave w","Ring"
"117",7625774,1018,"st clair ave w","Ring"
"118",7625775,40,"dovercourt rd","Ring"
"119",7625776,40,"dovercourt rd","Ring"
"120",7625777,1371,"queen st w","Ring"
"121",7625778,40,"dovercourt rd","Ring"
"122",7625779,404,"roncesvalles ave","Ring"
"123",7625780,404,"roncesvalles ave","Ring"
"124",7625781,1371,"queen st w","Ring"
"125",7625782,862,"college st","Ring"
"126",7625783,220,"sorauren ave","Ring"
"127",7625784,220,"sorauren ave","Ring"
"128",7625785,864,"college st","Ring"
"129",7625786,784,"college st","Ring"
"130",7625787,784,"college st","Ring"
"131",7625788,480,"st clair ave w","Ring"
"132",7625789,480,"st clair ave w","Ring"
"133",7625790,401,"bay st","Ring"
"134",7625791,401,"bay st","Ring"
"135",7625792,1,"richmond st w","Ring"
"136",7625793,96,"richmond st w","Ring"
"137",7625794,96,"richmond st w","Ring"
"138",7625795,96,"richmond st w","Ring"
"139",7625796,96,"richmond st w","Ring"
"140",7625797,96,"richmond st w","Ring"
"141",7625798,96,"richmond st w","Ring"
"142",7625799,96,"richmond st w","Ring"
"143",7625800,194,"wellesley st e","Ring"
"144",7625801,194,"wellesley st e","Ring"
"145",7625802,231,"fort york blvd","Ring"
"146",7625803,231,"fort york blvd","Ring"
"147",7625804,231,"fort york blvd","Ring"
"148",7625805,332,"harbord st","Ring"
"149",7625806,623,"bathurst st","Ring"
"150",7625807,489,"college st","Ring"
"151",7625808,489,"college st","Ring"
