"id","stNumber","stName","type","capacity"
5968,21,"gerrard st e","Bike Rack",16
5969,213,"delaware ave","Angled Bike Rack",5
5970,213,"delaware ave","Bike Corral",8
5971,2198,"yonge st","Bike Rack",16
5972,222,"spadina ave","Bike Rack",16
5973,236,"augusta ave","Bike Corral",24
5975,468,"king st w","Bike Rack",8
5977,500,"king st w","Bike Rack",8
5978,584,"bloor st w","Bike Rack",8
5979,692,"bloor st w","Bike Rack",16
5980,790,"bay st","Bike Rack",8
5982,40,"high park ave","Bike Shelter",20
5983,100,"queen st w","Bike Rack",120
5984,686,"queen st w","Bike Shelter",10
5985,180,"shaw st","Bike Shelter",18
5986,1140,"yonge st","Bike Rack",8
5989,266,"king st e","Bike Rack",8
5992,35,"york st","Angled Bike Rack",30
5993,357,"bay st","Bike Rack",8
5994,362,"bloor st w","Bike Rack",8
5995,375,"st clair ave w","Bike Shelter",20
5996,40,"orchard view blvd","Bike Rack",8
5997,400,"yonge st","Bike Rack",8
5998,429,"college st","Bike Rack",8
5999,449,"parliament st","Bike Rack",8
6003,511,"king st w","Bike Rack",8
6004,522,"university ave","Bike Rack",16
6005,539,"parliament st","Bike Rack",8
6008,621,"king st w","Bike Rack",8
6009,636,"queen st e","Bike Rack",8
6010,675,"bloor st w","Bike Rack",56
6011,720,"bay st","Bike Rack",8
6012,736,"bay st","Bike Rack",8
6013,743,"pape ave","Bike Rack",32
6015,802,"college st","Bike Rack",8
6016,813,"bloor st w","Bike Rack",8
6017,940,"college st","Bike Rack",8
6018,1034,"bloor st w","Angled Bike Rack",5
6019,12,"emerson ave","Bike Corral",14
6020,82,"fort york blvd","Bike Rack",8
6021,65,"dundas st w","Bike Rack",32
6022,860,"college st","Bike Rack",8
6023,901,"king st w","Bike Rack",8
6024,92,"fort york blvd","Bike Rack",8
6027,95,"front st e","Bike Rack",8
6029,953,"gerrard st e","Bike Rack",16
6030,695,"lansdowne ave","Bike Rack",8
6031,55,"john st","Bike Rack",16
6033,138,"fort york blvd","Bike Rack",8
6034,1595,"dupont st","Bike Rack",8
6035,2,"bloor st w","Bike Rack",32
6036,2000,"yonge st","Bike Rack",8
6037,22,"fort york blvd","Bike Rack",8
6038,268,"college st","Bike Corral",14
