richmond st e,parliament st
lake shore blvd w,york st
steeles ave w,carpenter rd
steeles ave w,hilda ave
albion rd,silverstone dr
dixon rd,kipling ave
steeles ave w,islington ave
sheppard ave w,wilson heights blvd
bathurst st,sheppard ave w
lawrence ave w,marlee ave
bathurst st,lawrence ave w
bayview ave,cummer ave
leslie st,lawrence ave e
leslie st,york mills rd
bayview ave,truman rd
midland ave,mcnicoll ave
steeles ave e,birchmount rd
warden ave,arkona dr
steeles ave e,brimley rd
college st,bathurst st
morningside ave,lawrence ave e
dixon rd,carlingview dr
dufferin st,glencairn ave
overlea blvd,thorncliffe park dr
kennedy rd,ellesmere rd
leslie st,finch ave e
birchmount rd,huntingwood dr
kingston rd,port union rd
bloor st w,the west mall
the queensway,the west mall
lake shore blvd w,thirty seventh st
kipling ave,horner ave
the queensway,north queen st
wilson ave,transit rd
lake shore blvd w,windermere ave
warden ave,mcnicoll ave
keele st,wilson ave
lansdowne ave,dupont st
queen st w,lansdowne ave
burnhamthorpe rd,the east mall
keele st,sheppard ave w
jane st,bala ave
jane st,clair rd
danforth ave,birchmount rd
islington ave,the westway
bathurst st,davenport rd
warden ave,comstock rd
eastern ave,lower coxwell ave
midland ave,progress ave
lawrence ave e,bellamy rd n
danforth rd,birchmount rd
st clair ave e,brimley rd
keele st,lawrence ave w
bloor st w,ossington ave
danforth ave,greenwood ave
queen st e,woodbine ave
king st e,jarvis st
lake shore blvd e,leslie st
lower jarvis st,the esplanade
lake shore blvd e,carlaw ave
rogers rd,keele st
dundas st w,bloor st w
eglinton ave w,spadina rd
lawrence ave e,don mills rd
neilson rd,sheppard ave e
sheppard ave e,malvern st
ellesmere rd,military trl
kennedy rd,401 c e kennedy rd ramp
university ave,richmond st w
adelaide st e,parliament st
university ave,adelaide st w
dixon rd,martin grove rd
university ave,queen st w
keele st,wilson ave
lake shore blvd w,spadina ave
lake shore blvd w,park lawn rd
sheppard ave e,bayview ave
steeles ave w,weston rd
lawrence ave e,greencedar crct
finch ave e,birchmount rd
bloor st w,the east mall
wilson ave,jane st
warden ave,mcnicoll ave
steeles ave w,keele st
university ave,wellington st w
albion rd,kipling ave
the queensway,kipling ave
finch ave e,gordon baker rd
jarvis st,isabella st
danforth rd,brimley rd
dundas st e,river st
mccowan rd,mcnicoll ave
st clair ave w,gunns rd
spadina ave,king st w
sheppard ave e,mccowan rd
king st e,parliament st
rexdale blvd,martin grove rd
the queensway,the east mall
st clair ave w,spadina rd
dufferin st,finch ave w
islington ave,evans ave
eglinton ave w,martin grove rd
finch ave e,brimley rd
lake shore blvd w,jameson ave
eglinton ave e,danforth rd
neilson rd,mclevin ave
simcoe st,wellington st w
jane st,stong crt
ellesmere rd,bellamy rd n
lawrence ave e,kennedy rd
warden ave,comstock rd
sheppard ave e,malvern st
rexdale blvd,kipling ave
weston rd,lawrence ave w
islington ave,albion rd
the queensway,islington ave
st clair ave w,runnymede rd
warden ave,ashtonbee rd
keele st,lawrence ave w
birchmount rd,mcnicoll ave
finch ave e,middlefield rd
dixon rd,islington ave
spadina ave,bremner blvd
the queensway,royal york rd
lake shore blvd w,strachan ave
lawrence ave e,markham rd
jane st,falstaff ave
avenue rd,lawrence ave w
pharmacy ave,mcnicoll ave
markham rd,progress ave
markham rd,sheppard ave e
don mills rd,van horne ave
sheppard ave e,morningside ave
morningside ave,milner ave
kennedy rd,mcnicoll ave
markham rd,ellesmere rd
bloor st w,keele st
eglinton ave w,scarlett rd
steeles ave w,dufferin st
dufferin st,dupont st
bloor st w,islington ave
sheppard ave e,don mills rd
steeles ave w,signet dr
kennedy rd,sheppard ave e
bathurst st,nina st
brimley rd,huntingwood dr
brimley rd,progress ave
kingston rd,brimley rd
lawrence ave e,scarborough golf club rd
steeles ave e,markham rd
strachan ave,wellington st w
university ave,dundas st w
warden ave,ellesmere rd
willowdale ave,bishop ave
cummer ave,willowdale ave
sheppard ave e,victoria park ave
bathurst st,finch ave w
finch ave e,don mills rd
steeles ave w,jane st
sheppard ave w,jane st
mccowan rd,ellesmere rd
mccowan rd,brimorton dr
bathurst st,wilson ave
jarvis st,shuter st
lawrence ave e,greencrest crct
steeles ave w,martin grove rd
lake shore blvd w,lower simcoe st
martin grove rd,belfield rd
finch ave e,markham rd
finch ave e,warden ave
lawrence ave e,pharmacy ave
eglinton ave e,markham rd
st clair ave e,danforth rd
lawrence ave e,mccowan rd
morningside ave,401 c w morningside ave n ramp
bellamy rd n,brimorton dr
weston rd,fenmar dr
markham rd,mcnicoll ave
lawrence ave e,warden ave
kipling ave,widdicombe hill
lawrence ave e,brimley rd
william r allen rd,sheppard ave w
midland ave,copthorne ave
steeles ave e,don mills rd
steeles ave w,alness st
burnhamthorpe rd,the west mall
jane st,st clair ave w
willowdale ave,spring garden ave
markham rd,greencedar crct
dundas st w,royal york rd
