trafficlightcount,numspots,stname,bikestationcount
3,70,annette st,2
1,4,arlington ave,0
1,68,augusta ave,2
5,164,avenue rd,9
6,578,bathurst st,11
4,759,bay st,1
4,116,bayview ave,3
5,24,berkeley st,1
3,42,beverley st,4
1,12,birmingham st,0
3,144,bloor st e,1
16,1891,bloor st w,2
1,78,bond st,1
2,132,bremner blvd,5
7,150,broadview ave,2
1,2,broadway ave,0
1,16,brock ave,1
1,72,carlaw ave,3
1,212,carlton st,8
1,8,cecil st,0
1,2,cedarvale ave,0
1,20,chaplin cres,0
1,40,charles st e,10
1,2,chatham ave,0
2,74,cherry st,1
7,317,church st,3
1,28,colborne lodge dr,4
5,1398,college st,11
1,28,concord ave,10
2,8,cosburn ave,2
1,16,cowan ave,1
2,70,coxwell ave,2
1,8,crescent rd,0
2,64,dan leckie way,4
16,1011,danforth ave,9
1,214,davenport rd,13
1,30,davisville ave,2
2,12,dawes rd,1
1,19,delaware ave,0
1,20,don mills rd,0
1,50,donlands ave,2
1,4,dorval rd,0
1,104,dovercourt rd,1
12,177,dufferin st,1
11,238,dundas st e,1
5,1483,dundas st w,1
9,2,duplex ave,0
3,405,dupont st,2
1,14,durie st,4
6,98,eastern ave,2
1,93,eglinton ave e,1
1,152,elizabeth st,3
1,6,ellis park rd,0
1,22,emerson ave,1
2,2,erskine ave,2
1,6,euclid ave,8
1,2,fairford ave,0
5,24,finch ave w,0
1,94,fort york blvd,1
1,1,frederick st,1
3,390,front st e,2
5,28,geary ave,0
3,48,george st,1
1,10,george st s,0
3,499,gerrard st e,2
1,34,gladstone ave,8
1,8,glenlake ave,0
1,12,grace st,0
1,6,greenwood ave,0
1,4,hamilton st,0
1,40,high park ave,14
1,2,hoskin ave,11
2,18,howard park ave,1
1,24,howard st,2
1,10,huntley st,0
1,54,isabella st,1
3,22,islington ave,0
3,42,jane st,1
1,132,jarvis st,1
1,107,john st,2
1,10,jones ave,0
9,68,keele st,2
1,14,kennedy park rd,0
1,447,king st e,1
1,921,king st w,1
10,152,kingston rd,1
1,304,lake shore blvd w,3
1,112,lansdowne ave,1
4,42,lawrence ave e,0
3,16,lawrence ave w,0
5,6,leslie st,1
4,16,logan ave,4
2,33,lower jarvis st,1
1,6,lower sherbourne st,1
1,30,lower simcoe st,7
1,24,macpherson ave,14
1,52,madison ave,18
3,70,main st,0
1,52,manning ave,0
3,36,market st,0
2,6,markham rd,0
1,2,marlee ave,0
2,12,mccowan rd,0
1,48,merton st,3
2,147,mill st,1
1,6,montrose ave,0
1,18,morningside ave,0
1,4,mortimer ave,3
7,116,mount pleasant rd,1
1,8,munro st,0
1,4,neilson rd,0
1,4,north york blvd,0
1,2,oakmount rd,0
3,78,oakwood ave,1
5,30,ontario st,2
1,16,orchard view blvd,0
2,166,ossington ave,1
1,138,pape ave,2
2,6,parkside dr,1
10,238,parliament st,2
1,14,pembroke st,0
1,16,plains rd,2
1,24,princess st,4
1,18,quebec ave,0
2,1160,queen st e,8
3,1594,queen st w,5
1,28,regent st,0
1,86,richmond st e,2
1,4,ritchie ave,0
5,30,river st,2
1,12,robert st,5
1,4,roehampton ave,2
3,16,rogers rd,0
2,308,roncesvalles ave,9
1,2,rosehill ave,1
1,6,roxborough st e,0
1,4,roxborough st w,1
1,35,royal york rd,3
3,10,runnymede rd,1
1,42,russell st,1
1,16,sackville st,1
1,10,salem ave,2
9,2,sammon ave,0
2,2,scarlett rd,19
1,6,scott rd,0
3,7,scott st,6
1,50,shaw st,1
1,32,sheppard ave e,0
2,235,sherbourne st,2
7,74,shuter st,0
1,2,silverthorn ave,0
1,30,sorauren ave,0
4,2,soudan ave,0
1,714,spadina ave,1
3,99,spadina rd,1
1,84,st clair ave e,0
2,468,st clair ave w,1
1,260,st george st,0
1,20,strachan ave,1
4,30,sumach st,1
2,12,symington ave,2
10,159,the esplanade,2
1,14,the queensway,1
3,30,trinity st,0
3,507,university ave,1
1,6,upton rd,0
1,64,vaughan rd,1
5,30,victoria park ave,2
1,4,wales ave,0
1,10,wallace ave,1
2,36,wellesley st w,1
3,82,weston rd,1
4,28,wilson ave,0
2,4,wilton st,0
3,8,windermere ave,2
3,8,winona dr,1
4,32,woodbine ave,1
3,2,woodfield rd,0
19,1477,yonge st,1
1,118,york st,1
1,70,yorkville ave,1
