"stName","trafficCountAvg","trafficlightCount","bikeStationCount","subwayStationCount","bikeShopCount"
"adelaide st",1448,5,0,0,0
"alton ave",276.84375,1,1,0,0
"amberley dr",52.8125,1,0,0,0
"amoro dr",110,1,0,0,0
"amsterdam ave",288.0625,2,0,0,0
"ancona st",374.875,1,0,0,0
"anderson ave",118.0625,1,0,0,0
"annette st",1251.78125,3,2,0,1
"antler st",28.84375,1,1,0,0
"applefield dr s",339.34375,1,0,0,0
"archer rd",29.3125,1,0,0,0
"arlington ave",282.4375,1,0,0,0
"arrow rd",266.09375,1,0,0,0
"ashdale ave",75.5625,1,0,0,0
"ashtonbee rd",273.875,1,0,0,0
"atlas ave",73.34375,1,0,0,0
"augusta ave",39.53125,1,2,0,1
"austin ter",200.78125,1,0,0,0
"ava rd",163.1875,1,0,0,0
"avenue rd",3933.5,5,9,0,1
"bartlett ave n",122.8125,1,0,0,0
"bathurst st",4099.09375,6,11,1,2
"bay st",2903.09375,4,1,1,0
"bayview ave",1069.75,4,3,1,2
"beechborough ave",128.625,1,0,0,0
"beecroft rd",229.5625,1,0,0,0
"bellamy rd n",403.90625,1,0,0,0
"bellechasse st",22.46875,1,0,0,0
"belsize dr",330.21875,1,0,0,0
"benbow rd w",18.75,1,0,0,0
"benshire dr",22.46875,1,0,0,0
"benton rd",655.03125,1,0,0,0
"berekely st",333.28125,1,0,0,0
"berkeley st",1172.5625,5,1,0,0
"berkeley st and hahn pl",149.75,1,0,0,0
"bernadine st",26.0625,1,0,0,0
"berwick ave",120.71875,1,0,0,0
"beta st",330.1875,1,0,0,0
"beverley st",900.3125,3,4,0,0
"birchcliff ave",348.25,1,0,0,0
"birchmount rd",2184.3125,4,0,0,0
"birmingham st",278.75,1,0,0,0
"black creek dr",1888.03125,2,0,0,0
"blackwell ave",124.4375,1,0,0,0
"blantyre ave",101,2,0,0,0
"bloor st",5074.09375,12,19,0,0
"bloor st e",2075.625,3,1,0,0
"bloor st w",7315.125,16,2,0,12
"blossomfield dr",486.84375,1,0,0,0
"bond ave",414.34375,1,0,0,0
"bond st",309.1875,1,1,0,0
"booth ave",405.8125,1,0,0,0
"boulton ave",231.3125,1,0,0,0
"bradley ave",312.21875,1,0,0,0
"bremner blvd",1035.53125,2,5,0,0
"briar hill ave",23.4375,1,3,0,0
"bridlewood blvd",33.96875,1,0,0,0
"brimley rd",4164.4375,8,0,0,0
"brimley rd and st andrews rd",339.34375,1,0,0,0
"brimwood blvd",264.8125,2,0,0,0
"bristol ave",109.71875,1,0,0,0
"britannia ave",419.09375,1,0,0,0
"broadview ave",2878.71875,7,2,1,1
"broadway ave",444.75,1,0,0,0
"brock ave",316.65625,1,1,0,0
"brock ave e",298.78125,1,0,0,0
"brock ave w",328.28125,1,0,0,0
"brookhaven dr",343.59375,1,0,0,0
"brookside ave",41.21875,1,0,0,0
"brownlow ave",311.3125,2,0,0,0
"browside ave",29.3125,1,0,0,0
"burbank dr",77.0625,1,0,0,0
"burnview cres",562.21875,1,0,0,0
"burrard rd",83.8125,1,0,0,0
"calvington dr",580.375,1,0,0,0
"cameron ave",42.84375,1,0,0,0
"camilla cres",298.59375,1,0,0,0
"carlaw ave",69.28125,1,3,0,1
"carlton st",733.96875,1,8,0,0
"carroll st",219.59375,1,0,0,0
"castle frank rd",686.75,1,0,1,0
"castle view ave",204.5,1,0,0,0
"cataraqui cres",215.34375,1,0,0,0
"cecil st",263.3125,1,0,0,0
"cedar dr",289.46875,1,0,0,0
"cedarvale ave",9.3125,1,0,0,0
"chandler dr",12.75,1,0,0,0
"chaplin cres",907.21875,1,0,0,0
"chapman ave",244.28125,1,0,0,0
"charles st",508.28125,1,0,0,0
"charles st e",365.375,1,10,0,0
"chatham ave",24.21875,1,0,0,0
"cheritan ave",146.375,1,0,0,0
"cherry st",439.625,2,1,0,0
"chillery ave",310.65625,1,0,0,0
"church st",2970.15625,7,3,0,0
"citation dr",77.0625,1,0,0,0
