"","street","count"
"1"," GLENHAVEN ST",128.625
"2","1630 LAWRENCE AVE W",570.84375
"3","55M E OF OLYMPIA DR",570.84375
"4","ADELAIDE ST",1448
"5","ALTON AVE",276.84375
"6","AMBERLEY DR",52.8125
"7","AMORO DR",110
"8","AMSTERDAM AVE",288.0625
"9","ANCONA ST",374.875
"10","ANDERSON AVE",118.0625
"11","ANNETTE ST",1251.78125
"12","ANTLER ST",28.84375
"13","APPLEFIELD DR S",339.34375
"14","ARCHER RD",29.3125
"15","ARLINGTON AVE",282.4375
"16","ARROW RD",266.09375
"17","ASHDALE AVE",75.5625
"18","ASHTONBEE RD",273.875
"19","ATLAS AVE",73.34375
"20","AUGUSTA AVE",39.53125
"21","AUSTIN TER",200.78125
"22","AVA RD",163.1875
"23","AVENUE RD",3933.5
"24","BARTLETT AVE N",122.8125
"25","BATHURST ST",4099.09375
"26","BAY ST",2903.09375
"27","BAYVIEW AVE",1069.75
"28","BEECHBOROUGH AVE",128.625
"29","BEECROFT RD",229.5625
"30","BELLAMY RD N",403.90625
"31","BELLECHASSE ST",22.46875
"32","BELSIZE DR",330.21875
"33","BENBOW RD W",18.75
"34","BENSHIRE DR",22.46875
"35","BENTON RD",655.03125
"36","BEREKELY ST",333.28125
"37","BERKELEY ST",1172.5625
"38","BERKELEY ST AND HAHN PL",149.75
"39","BERNADINE ST",26.0625
"40","BERWICK AVE",120.71875
"41","BETA ST",330.1875
"42","BEVERLEY ST",900.3125
"43","BIRCHCLIFF AVE",348.25
"44","BIRCHMOUNT RD",2184.3125
"45","BIRMINGHAM ST",278.75
"46","BLACK CREEK DR",1888.03125
"47","BLACKWELL AVE",124.4375
"48","BLANTYRE AVE",101
"49","BLOOR ST",5074.09375
"50","BLOOR ST E",2075.625
"51","BLOOR ST W",7315.125
"52","BLOSSOMFIELD DR",486.84375
"53","BOND AVE",414.34375
"54","BOND ST",309.1875
"55","BOOTH AVE",405.8125
"56","BOULTON AVE",231.3125
"57","BRADLEY AVE",312.21875
"58","BREMNER BLVD",1035.53125
"59","BRIAR HILL AVE",23.4375
"60","BRIDLEWOOD BLVD",33.96875
"61","BRIMLEY RD",4164.4375
"62","BRIMLEY RD AND ST ANDREWS RD",339.34375
"63","BRIMWOOD BLVD",264.8125
"64","BRISTOL AVE",109.71875
"65","BRITANNIA AVE",419.09375
"66","BROADVIEW AVE",2878.71875
"67","BROADWAY AVE",444.75
"68","BROCK AVE",316.65625
"69","BROCK AVE E",298.78125
"70","BROCK AVE W",328.28125
"71","BROOKHAVEN DR",343.59375
"72","BROOKSIDE AVE",41.21875
"73","BROWNLOW AVE",311.3125
"74","BROWSIDE AVE",29.3125
"75","BURBANK DR",77.0625
"76","BURNVIEW CRES",562.21875
"77","BURRARD RD",83.8125
"78","CALVINGTON DR",580.375
"79","CAMERON AVE",42.84375
"80","CAMILLA CRES",298.59375
"81","CARLAW AVE",69.28125
"82","CARLTON ST",733.96875
"83","CARROLL ST",219.59375
"84","CASTLE FRANK RD",686.75
"85","CASTLE VIEW AVE",204.5
"86","CATARAQUI CRES",215.34375
"87","CECIL ST",263.3125
"88","CEDAR DR",289.46875
"89","CEDARVALE AVE",9.3125
"90","CHANDLER DR",12.75
"91","CHAPLIN CRES",907.21875
"92","CHAPMAN AVE",244.28125
"93","CHARLES ST",508.28125
"94","CHARLES ST E",365.375
"95","CHATHAM AVE",24.21875
"96","CHERITAN AVE",146.375
"97","CHERRY ST",439.625
"98","CHILLERY AVE",310.65625
"99","CHURCH ST",2970.15625
"100","CITATION DR",77.0625
"101","CIVIC CENTRE CRT",166.6875
"102","CLAIRTON CRES S",340.28125
"103","CLANTON PARK RD",101.59375
"104","CLEVELAND ST",236.65625
"105","CLIFFWOOD RD N",291.25
"106","CLYDE AVE",357.25
"107","COLBECK ST",318.8125
"108","COLBORNE LODGE DR",442.4375
"109","COLLEGE ST",2715.46875
"110","COLUMBIA GT",68.78125
"111","COMSTOCK RD",460.25
"112","CONCORD AVE",297.84375
"113","CONWAY AVE",262.8125
"114","COOLHURST DR",23.0625
"115","CORAL GABLE DR",432.78125
"116","CORNELL AVE AND GOLDWIN AVE",431.46875
"117","CORONA ST",505
"118","COSBURN AVE",537.34375
"119","COURCELETTE RD",37.78125
"120","COWAN AVE",281.125
"121","COXWELL AVE",1000.34375
"122","CRESCENT RD",400
"123","CULFORD RD",706.0625
"124","CUMMER AVE",145.40625
"125","D ARCY ST",214.65625
"126","DAN LECKIE WAY",1042.75
"127","DANE AVE",555.1875
"128","DANFORTH AVE",7710.40625
"129","DANFORTH RD",1472.3125
"130","DAVENPORT RD",295.1875
"131","DAVISVILLE AVE",568.71875
"132","DAWES RD",650.71875
"133","DE GRASSI ST",217.53125
"134","DEERFIELD RD",316.53125
"135","DEERHIDE CRES (NORTH INT)",266.09375
"136","DELAWARE AVE",306.96875
"137","DELAWARE AVE N",55.46875
"138","DELBURN DR",55.09375
"139","DELSING DR",121.15625
"140","DEWHURST BLVD N",22.875
"141","DIXON RD",975.625
"142","DOERR RD",26.0625
