"stationName","totalUsage","hasBikeStation","hasRepairStation"
"bathurst",26903,TRUE,TRUE
"bay",32060,FALSE,FALSE
"bayview",8531,FALSE,TRUE
"bessarion",2988,FALSE,FALSE
"bloor-yonge",401091,FALSE,FALSE
"broadview",34096,FALSE,TRUE
"castle frank",8890,TRUE,TRUE
"chester",5804,TRUE,TRUE
"christie",12511,FALSE,FALSE
"college",44373,FALSE,FALSE
"coxwell",15484,FALSE,FALSE
"davisville",25994,FALSE,TRUE
"don mills",37045,FALSE,FALSE
"donlands",11245,TRUE,TRUE
"dufferin",28618,FALSE,FALSE
"dundas",73563,FALSE,FALSE
"dundas west",29353,FALSE,FALSE
"dupont",8498,FALSE,TRUE
"eglinton",68524,FALSE,FALSE
"eglinton west",20728,FALSE,FALSE
"ellesmere",1770,FALSE,FALSE
"finch",92063,TRUE,TRUE
"glencairn",6618,FALSE,FALSE
"greenwood",11081,TRUE,TRUE
"high park",12075,TRUE,FALSE
"islington",39250,FALSE,FALSE
"jane",20105,TRUE,TRUE
"keele",16992,FALSE,TRUE
"kennedy",103501,FALSE,TRUE
"king",60495,FALSE,FALSE
"kipling    ",49341,FALSE,FALSE
"lansdowne",18996,TRUE,FALSE
"lawrence",25832,FALSE,TRUE
"lawrence east",7929,FALSE,FALSE
"lawrence west",19742,FALSE,TRUE
"leslie",5989,FALSE,TRUE
"main street",23946,FALSE,TRUE
"mccowan",3861,FALSE,FALSE
"midland",2438,FALSE,FALSE
"museum",11836,FALSE,FALSE
"north york centre",25384,FALSE,FALSE
"old mill",7752,FALSE,TRUE
"osgoode",23669,FALSE,FALSE
"ossington",30100,FALSE,TRUE
"pape",27079,FALSE,TRUE
"queen",48701,FALSE,FALSE
"queen's park",46465,FALSE,FALSE
"rosedale",7766,TRUE,TRUE
"royal york",21803,FALSE,TRUE
"runnymede",20111,FALSE,TRUE
"scarborough ctr.",23053,FALSE,FALSE
"sheppard-yonge",125461,FALSE,FALSE
"sheppard west",41599,FALSE,TRUE
"sherbourne",26586,FALSE,FALSE
"spadina",44558,FALSE,TRUE
"st. andrew",57477,FALSE,FALSE
"st. clair",36623,FALSE,FALSE
"st. clair west",27982,FALSE,FALSE
"st. george",252104,FALSE,FALSE
"st. patrick",34056,FALSE,FALSE
"summerhill",5713,TRUE,FALSE
"union",128655,TRUE,FALSE
"victoria park",30783,TRUE,TRUE
"warden",33142,FALSE,FALSE
"wellesley",23513,FALSE,FALSE
"wilson",26309,FALSE,FALSE
"woodbine",14964,TRUE,FALSE
"york mills",28455,FALSE,FALSE
"yorkdale",21552,FALSE,FALSE
