_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,NAME,UNIT,PHONE,EMAIL,RENTAL,OBJECTID,geometry
1,14037509,400,King St W,400 King St W,M5V 1K2,former Toronto,Toronto,Spadina-Fort York (10),,112001,10222696,400,,,,3780,,,-79.3931911918,43.646102091,65,Mountain Equipment Co-op,,416-340-2667,,NO,1,"{u'type': u'Point', u'coordinates': (-79.393187953, 43.646093508)}"
2,10576060,882,College St,882 College St,M6H 1A3,former Toronto,Toronto,Davenport (9),,115001,10576046,882,,,,9765,,,-79.42476541939999,43.6541566369,66,My Little Bike Shop,,647-967-0122,onetimetwotime@hotmail.com,NO,2,"{u'type': u'Point', u'coordinates': (-79.4247621723, 43.6541480525)}"
3,9941962,3731,Lake Shore Blvd W,3731 Lake Shore Blvd W,M8W 1P9,Etobicoke,Toronto,Etobicoke-Lakeshore (3),,115001,9941960,3731,,,,1962,,,-79.5396932955,43.5928300158,68,Oxygen Bike Co.,,416-259-2453,ride@oxygenbikes.com,NO,3,"{u'type': u'Point', u'coordinates': (-79.5396900229, 43.5928214545)}"
4,8407969,1292,Queen St E,1292 Queen St E,M4L 1C4,former Toronto,Toronto,Toronto-Danforth (14),,115001,14171607,1292,,,,4237,,,-79.3285585567,43.6639136732,69,Polly's Recycle,,416-461-4312,zombie@cycleszombie.com,NO,4,"{u'type': u'Point', u'coordinates': (-79.3285553433, 43.6639050882)}"
5,6052300,2111,Jane St,2111 Jane St,M3M 1A2,North York,Toronto,York Centre (6),,107005,6052297,2111,,,,694,,,-79.5078029041,43.7189771377,1,Al's Star Cycle & Sports,,416-249-0676,,NO,5,"{u'type': u'Point', u'coordinates': (-79.5077996296, 43.7189685504)}"
6,10430606,29,Barton Ave,29 Barton Ave,M6G 1P2,former Toronto,Toronto,University-Rosedale (11),,115001,14011886,29,,,,2954,,,-79.4126348618,43.667964737700004,2,Bateman's Bicycle Company,,416-528-2453,info@batemanbikeco.com,YES,6,"{u'type': u'Point', u'coordinates': (-79.4126316143, 43.6679561549)}"
7,11165051,913,Bathurst St,913 Bathurst St,M5R 3G4,former Toronto,Toronto,University-Rosedale (11),,115001,11165038,913,,,,436,,,-79.41250012180001,43.6693109724,3,Bateman's Bicycle Company,,416-538-2453,info@batemanbikeco.com,YES,7,"{u'type': u'Point', u'coordinates': (-79.4124968776, 43.6693023901)}"
8,856078,1882,Queen St E,1882 Queen St E,M4L 1H2,former Toronto,Toronto,Beaches-East York (19),,107010,1142152,1882,,,,4237,,,-79.3061043603,43.668845152399996,4,Beach Toyz,,416-464-8920,john@beachtoyz.ca,YES,8,"{u'type': u'Point', u'coordinates': (-79.3061011473, 43.6688365653)}"
9,982341,835,Albion Rd,835 Albion Rd,M9V 1A3,Etobicoke,Toronto,Etobicoke North (1),,107010,907164,835,,,,1012,,,-79.5596434916,43.734364385,6,Bicycle Depot,,416-741-1452,bicycledepot@hotmail.com,NO,9,"{u'type': u'Point', u'coordinates': (-79.5596401891, 43.734355793)}"
10,14209891,1510,Danforth Ave,1510 Danforth Ave,M4J 1N4,former Toronto,Toronto,Toronto-Danforth (14),,115001,7940321,1510,,,,86,,,-79.32518722409999,43.6832052507,34,Cyclepath,,416-463-5346,support@cyclepath.ca,YES,28,"{u'type': u'Point', u'coordinates': (-79.3251840076, 43.6831966577)}"
