_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
5914801,37,BP-11699,70,The Pond Rd,,,Seneca Lane,,,7.0,,Rack,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4998342614, 43.770770152)}"
5914802,43,BP-11900,8,Assiniboine Rd,,,Nelson Rd,,,7.0,,Rack,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5042117859, 43.7681659541)}"
5914803,143,BP-12883,21,Canniff St,,,Strachan Ave,,,10.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4114934143, 43.6414512067)}"
5914804,171,BP-15331,911,Davenport Rd,,,Davenport Rd,,,12.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.423442385, 43.6754029632)}"
5914805,218,BP-13385,145,Queens Quay W,,,York St,,,10.0,The Waterfront,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3796309061, 43.6395897236)}"
5914806,244,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3953361766, 43.6720003272)}"
5914807,262,BP-13787,147,Baldwin St,,,Spadina Ave,,,11.0,Kensington Market,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.399866471, 43.6548878783)}"
5914808,286,BP-08338,50,Western Battery Rd,,,Pirandello St,East,,10.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4140278737, 43.6399381912)}"
5914809,342,BP-03939,50,Blue Jays Way,,,Mercer St,,,10.0,Toronto Entertainment District,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3921196079, 43.6453175951)}"
5914810,356,BP-05924,1313,Bloor St W,,,St Helens Ave,,,9.0,Bloordale Village,Ring,Temporarily Removed,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4439131599, 43.657760908)}"
5914811,417,BP-08045,145,Queens Quay W,,,York St,,,10.0,The Waterfront,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3797055199, 43.6396456737)}"
5914812,418,BP-07766,162,Mc Caul St,,,Mc Caul St,,,11.0,,Ring,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3920679391, 43.6556277675)}"
5914813,428,BP-14494,1246,Bloor St W,,,Margueretta St,,,9.0,Bloordale Village,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4400757212, 43.6589713434)}"
5914814,432,BP-09551,203,Kingston Rd,,,Rainsford Rd,,,19.0,,,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3089198515, 43.6729386255)}"
