"","id","stNumber","stName","type","capacity"
"1",7625651,70,"the pond rd","Rack",1
"2",7625652,8,"assiniboine rd","Rack",1
"3",7625653,8,"kensington ave","Ring",1
"4",7625654,21,"canniff st","Ring",1
"5",7625655,359,"king st e","Ring",1
"6",7625656,1960,"queen st e","Ring",1
"7",7625657,87,"avenue rd","Ring",1
"8",7625658,50,"blue jays way","Ring",1
"9",7625659,1313,"bloor st w","Ring",1
"10",7625660,189,"dundas st e","Ring",1
"11",7625661,145,"queens quay w",NA,1
"12",7625662,162,"mc caul st","Ring",1
"13",7625663,911,"davenport rd",NA,1
"14",7625664,20,"lombard st",NA,1
"15",7625665,8,"assiniboine rd","Rack",1
"16",7625666,50,"western battery rd",NA,1
"17",7625667,105,"victoria st",NA,1
"18",7625668,131,"dunn ave","Ring",1
"19",7625669,180,"elizabeth st",NA,1
"20",7625670,1556,"queen st w",NA,1
"21",7625671,46,"wellesley st e","Ring",1
"22",7625672,2,"sussex ave",NA,1
"23",7625673,55,"oakmount rd","Rack",1
"24",7625674,59,"spadina rd",NA,1
"25",7625675,2078,"queen st e",NA,1
"26",7625676,324,"richmond st w","Ring",1
"27",7625677,794,"mount pleasant rd","Ring",1
"28",7625678,125,"bathurst st",NA,1
"29",7625679,77,"cottingham st",NA,1
"30",7625680,203,"kingston rd",NA,1
"31",7625681,61,"hanna ave",NA,1
"32",7625682,2980,"bloor st w",NA,1
"33",7625684,3080,"yonge st","Ring",1
"34",7625685,145,"queens quay w",NA,1
"35",7625686,2,"jackes ave","Ring",1
"36",7625687,563,"crawford st",NA,1
"37",7625688,2,"sussex ave",NA,1
"38",7625689,251,"sorauren ave","Rack",1
"39",7625690,8,"assiniboine rd",NA,1
"40",7625691,1229,"queen st w",NA,1
"41",7625692,1000,"college st","Ring",1
"42",7625693,1262,"bay st","Ring",1
"43",7625694,998,"college st","Ring",1
"44",7625695,998,"college st","Ring",1
"45",7625696,924,"college st","Ring",1
"46",7625697,924,"college st","Ring",1
"47",7625698,2340,"yonge st","Ring",1
"48",7625699,3042,"yonge st","Ring",1
"49",7625700,3042,"yonge st","Ring",1
"50",7625701,2340,"yonge st","Ring",1
"51",7625702,2340,"yonge st","Ring",1
"52",7625703,2340,"yonge st","Ring",1
"53",7625704,2340,"yonge st","Ring",1
"54",7625705,2340,"yonge st","Ring",1
"55",7625706,1351,"dufferin st","Ring",1
"56",7625707,1729,"bloor st w","Ring",1
"57",7625708,2461,"bloor st w","Ring",1
"58",7625709,499,"king st w","Ring",1
"59",7625710,36,"blue jays way","Ring",1
"60",7625711,36,"blue jays way","Ring",1
"61",7625712,36,"blue jays way","Ring",1
"62",7625713,1075,"queen st e","Ring",1
"63",7625714,1075,"queen st e","Ring",1
"64",7625715,1075,"queen st e","Ring",1
"65",7625716,1075,"queen st e","Ring",1
"66",7625717,710,"spadina ave","Ring",1
"67",7625718,710,"spadina ave","Ring",1
"68",7625719,169,"harbord st","Ring",1
