"","INTERSECTION_ID","LINEAR_NAME_FULL_1","LINEAR_NAME_FULL_2","MAIN"
"1",13465959,"richmond st e","parliament st","richmond st e"
"2",13467993,"lake shore blvd w","york st","lake shore blvd w"
"3",13444656,"steeles ave w","carpenter rd","steeles ave w"
"4",13444138,"steeles ave w","hilda ave","steeles ave w"
"5",13451893,"albion rd","silverstone dr","albion rd"
"6",13459576,"dixon rd","kipling ave","dixon rd"
"7",13448601,"steeles ave w","islington ave","steeles ave w"
"8",13450231,"sheppard ave w","wilson heights blvd","sheppard ave w"
"9",13449607,"bathurst st","sheppard ave w","bathurst st"
"10",13455749,"lawrence ave w","marlee ave","lawrence ave w"
"11",13455135,"bathurst st","lawrence ave w","bathurst st"
"12",13444532,"bayview ave","cummer ave","bayview ave"
"13",13452717,"leslie st","lawrence ave e","leslie st"
"14",13449822,"leslie st","york mills rd","leslie st"
"15",13448765,"bayview ave","truman rd","bayview ave"
"16",14038170,"midland ave","mcnicoll ave","midland ave"
"17",13441903,"steeles ave e","birchmount rd","steeles ave e"
"18",13446799,"warden ave","arkona dr","warden ave"
"19",13441677,"steeles ave e","brimley rd","steeles ave e"
"20",13465757,"college st","bathurst st","college st"
"21",13447211,"morningside ave","lawrence ave e","morningside ave"
"22",13461025,"dixon rd","carlingview dr","dixon rd"
"23",13457150,"dufferin st","glencairn ave","dufferin st"
"24",13456854,"overlea blvd","thorncliffe park dr","overlea blvd"
"25",13447843,"kennedy rd","ellesmere rd","kennedy rd"
"26",13444761,"leslie st","finch ave e","leslie st"
"27",13444601,"birchmount rd","huntingwood dr","birchmount rd"
"28",13443303,"kingston rd","port union rd","kingston rd"
"29",13468898,"bloor st w","the west mall","bloor st w"
"30",13470138,"the queensway","the west mall","the queensway"
"31",13470661,"lake shore blvd w","thirty seventh st","lake shore blvd w"
"32",13470261,"kipling ave","horner ave","kipling ave"
"33",13470082,"the queensway","north queen st","the queensway"
"34",13453096,"wilson ave","transit rd","wilson ave"
"35",13468807,"lake shore blvd w","windermere ave","lake shore blvd w"
"36",13442867,"warden ave","mcnicoll ave","warden ave"
"37",13454197,"keele st","wilson ave","keele st"
"38",13464191,"lansdowne ave","dupont st","lansdowne ave"
"39",13468197,"queen st w","lansdowne ave","queen st w"
"40",13467689,"burnhamthorpe rd","the east mall","burnhamthorpe rd"
"41",13451388,"keele st","sheppard ave w","keele st"
"42",13460183,"jane st","bala ave","jane st"
"43",13451997,"jane st","clair rd","jane st"
"44",NA,"","","o connor dr"
"45",13458312,"danforth ave","birchmount rd","danforth ave"
"46",13460559,"islington ave","the westway","islington ave"
"47",13462422,"bathurst st","davenport rd","bathurst st"
"48",13454488,"warden ave","comstock rd","warden ave"
"49",13464080,"eastern ave","lower coxwell ave","eastern ave"
"50",13446743,"midland ave","progress ave","midland ave"
"51",13448868,"lawrence ave e","bellamy rd n","lawrence ave e"
"52",13456762,"danforth rd","birchmount rd","danforth rd"
"53",13454486,"st clair ave e","brimley rd","st clair ave e"
"54",13456952,"keele st","lawrence ave w","keele st"
"55",13464908,"bloor st w","ossington ave","bloor st w"
"56",13461356,"danforth ave","greenwood ave","danforth ave"
"57",13463494,"queen st e","woodbine ave","queen st e"
"58",13466630,"king st e","jarvis st","king st e"
"59",13465164,"lake shore blvd e","leslie st","lake shore blvd e"
"60",13467011,"lower jarvis st","the esplanade","lower jarvis st"
"61",13465837,"lake shore blvd e","carlaw ave","lake shore blvd e"
"62",13461587,"rogers rd","keele st","rogers rd"
"63",13465876,"dundas st w","bloor st w","dundas st w"
"64",NA,"","","yonge st"
"65",13457863,"eglinton ave w","spadina rd","eglinton ave w"
"66",13452266,"lawrence ave e","don mills rd","lawrence ave e"
"67",13443509,"neilson rd","sheppard ave e","neilson rd"
"68",13443955,"sheppard ave e","malvern st","sheppard ave e"
"69",13445757,"ellesmere rd","military trl","ellesmere rd"
"70",14228400,"kennedy rd","401 c e kennedy rd ramp","kennedy rd"
"71",13466730,"university ave","richmond st w","university ave"
"72",13466117,"adelaide st e","parliament st","adelaide st e"
"73",13466931,"university ave","adelaide st w","university ave"
"74",13460075,"dixon rd","martin grove rd","dixon rd"
"75",13466604,"university ave","queen st w","university ave"
"76",13454197,"keele st","wilson ave","keele st"
"77",13468307,"lake shore blvd w","spadina ave","lake shore blvd w"
"78",13469683,"lake shore blvd w","park lawn rd","lake shore blvd w"
"79",13447964,"sheppard ave e","bayview ave","sheppard ave e"
"80",13447719,"steeles ave w","weston rd","steeles ave w"
"81",13448786,"lawrence ave e","greencedar crct","lawrence ave e"
"82",13443562,"finch ave e","birchmount rd","finch ave e"
"83",13468751,"bloor st w","the east mall","bloor st w"
"84",13455040,"wilson ave","jane st","wilson ave"
"85",13442867,"warden ave","mcnicoll ave","warden ave"
"86",13446042,"steeles ave w","keele st","steeles ave w"
"87",13467345,"university ave","wellington st w","university ave"
"88",13452362,"albion rd","kipling ave","albion rd"
"89",13469800,"the queensway","kipling ave","the queensway"
"90",13444088,"finch ave e","gordon baker rd","finch ave e"
"91",13463674,"jarvis st","isabella st","jarvis st"
"92",13452352,"danforth rd","brimley rd","danforth rd"
"93",13464879,"dundas st e","river st","dundas st e"
"94",13442036,"mccowan rd","mcnicoll ave","mccowan rd"
"95",13463362,"st clair ave w","gunns rd","st clair ave w"
"96",13467505,"spadina ave","king st w","spadina ave"
"97",13444619,"sheppard ave e","mccowan rd","sheppard ave e"
"98",13466241,"king st e","parliament st","king st e"
"99",13456327,"rexdale blvd","martin grove rd","rexdale blvd"
"100",13469998,"the queensway","the east mall","the queensway"
"101",13460975,"st clair ave w","spadina rd","st clair ave w"
"102",13447779,"dufferin st","finch ave w","dufferin st"
"103",13469914,"islington ave","evans ave","islington ave"
"104",13463137,"eglinton ave w","martin grove rd","eglinton ave w"
"105",13442866,"finch ave e","brimley rd","finch ave e"
"106",13468970,"lake shore blvd w","jameson ave","lake shore blvd w"
"107",13452053,"eglinton ave e","danforth rd","eglinton ave e"
"108",13442522,"neilson rd","mclevin ave","neilson rd"
"109",13467394,"simcoe st","wellington st w","simcoe st"
"110",13448840,"jane st","stong crt","jane st"
"111",13446514,"ellesmere rd","bellamy rd n","ellesmere rd"
"112",13450163,"lawrence ave e","kennedy rd","lawrence ave e"
"113",13454488,"warden ave","comstock rd","warden ave"
"114",13443955,"sheppard ave e","malvern st","sheppard ave e"
"115",13456668,"rexdale blvd","kipling ave","rexdale blvd"
"116",13458367,"weston rd","lawrence ave w","weston rd"
"117",13452733,"islington ave","albion rd","islington ave"
"118",13469672,"the queensway","islington ave","the queensway"
"119",NA,"","","yonge st"
"120",13463893,"st clair ave w","runnymede rd","st clair ave w"
"121",13453141,"warden ave","ashtonbee rd","warden ave"
"122",13456952,"keele st","lawrence ave w","keele st"
"123",13442651,"birchmount rd","mcnicoll ave","birchmount rd"
"124",13442502,"finch ave e","middlefield rd","finch ave e"
"125",13459022,"dixon rd","islington ave","dixon rd"
"126",13468134,"spadina ave","bremner blvd","spadina ave"
"127",13469508,"the queensway","royal york rd","the queensway"
"128",13468803,"lake shore blvd w","strachan ave","lake shore blvd w"
"129",13448547,"lawrence ave e","markham rd","lawrence ave e"
"130",13455910,"jane st","falstaff ave","jane st"
"131",13454662,"avenue rd","lawrence ave w","avenue rd"
"132",13443081,"pharmacy ave","mcnicoll ave","pharmacy ave"
"133",13445553,"markham rd","progress ave","markham rd"
"134",13444062,"markham rd","sheppard ave e","markham rd"
"135",13445096,"don mills rd","van horne ave","don mills rd"
"136",13443095,"sheppard ave e","morningside ave","sheppard ave e"
"137",13443245,"morningside ave","milner ave","morningside ave"
"138",13442363,"kennedy rd","mcnicoll ave","kennedy rd"
"139",13446212,"markham rd","ellesmere rd","markham rd"
"140",13466139,"bloor st w","keele st","bloor st w"
"141",13461355,"eglinton ave w","scarlett rd","eglinton ave w"
"142",13445306,"steeles ave w","dufferin st","steeles ave w"
"143",13463882,"dufferin st","dupont st","dufferin st"
"144",13467841,"bloor st w","islington ave","bloor st w"
"145",NA,"","","steeles ave w"
"146",13446608,"sheppard ave e","don mills rd","sheppard ave e"
"147",13447608,"steeles ave w","signet dr","steeles ave w"
"148",13445476,"kennedy rd","sheppard ave e","kennedy rd"
"149",13461868,"bathurst st","nina st","bathurst st"
"150",13443575,"brimley rd","huntingwood dr","brimley rd"
"151",13446436,"brimley rd","progress ave","brimley rd"
"152",13454867,"kingston rd","brimley rd","kingston rd"
"153",13448254,"lawrence ave e","scarborough golf club rd","lawrence ave e"
"154",13441620,"steeles ave e","markham rd","steeles ave e"
"155",13468144,"strachan ave","wellington st w","strachan ave"
"156",13465980,"university ave","dundas st w","university ave"
"157",13448519,"warden ave","ellesmere rd","warden ave"
"158",13445655,"willowdale ave","bishop ave","willowdale ave"
"159",13445027,"cummer ave","willowdale ave","cummer ave"
"160",13446551,"sheppard ave e","victoria park ave","sheppard ave e"
"161",13446970,"bathurst st","finch ave w","bathurst st"
"162",13444423,"finch ave e","don mills rd","finch ave e"
"163",13446896,"steeles ave w","jane st","steeles ave w"
"164",13452283,"sheppard ave w","jane st","sheppard ave w"
"165",13446827,"mccowan rd","ellesmere rd","mccowan rd"
"166",13447827,"mccowan rd","brimorton dr","mccowan rd"
"167",NA,"","","highway 27"
"168",13452437,"bathurst st","wilson ave","bathurst st"
"169",13465860,"jarvis st","shuter st","jarvis st"
"170",13448487,"lawrence ave e","greencrest crct","lawrence ave e"
"171",13449574,"steeles ave w","martin grove rd","steeles ave w"
"172",14134984,"lake shore blvd w","lower simcoe st","lake shore blvd w"
"173",13458216,"martin grove rd","belfield rd","martin grove rd"
"174",13442251,"finch ave e","markham rd","finch ave e"
"175",13443837,"finch ave e","warden ave","finch ave e"
"176",13451212,"lawrence ave e","pharmacy ave","lawrence ave e"
"177",13450997,"eglinton ave e","markham rd","eglinton ave e"
"178",13455129,"st clair ave e","danforth rd","st clair ave e"
"179",13449204,"lawrence ave e","mccowan rd","lawrence ave e"
"180",20154546,"morningside ave","401 c w morningside ave n ramp","morningside ave"
"181",13447492,"bellamy rd n","brimorton dr","bellamy rd n"
"182",13449428,"weston rd","fenmar dr","weston rd"
"183",13441776,"markham rd","mcnicoll ave","markham rd"
"184",13450818,"lawrence ave e","warden ave","lawrence ave e"
"185",13462349,"kipling ave","widdicombe hill","kipling ave"
"186",13449501,"lawrence ave e","brimley rd","lawrence ave e"
"187",13450458,"william r allen rd","sheppard ave w","william r allen rd"
"188",13441919,"midland ave","copthorne ave","midland ave"
"189",13442528,"steeles ave e","don mills rd","steeles ave e"
"190",13445620,"steeles ave w","alness st","steeles ave w"
"191",13467918,"burnhamthorpe rd","the west mall","burnhamthorpe rd"
"192",13464218,"jane st","st clair ave w","jane st"
"193",13448022,"willowdale ave","spring garden ave","willowdale ave"
"194",13448822,"markham rd","greencedar crct","markham rd"
"195",13465689,"dundas st w","royal york rd","dundas st w"
