street1,street2,avg
lawrence ave w,m e of olympia dr,570.84375
adelaide st,bathurst st,389.84375
adelaide st,berkeley st,263.78125
adelaide st,ontario st,224.53125
adelaide st,parliament st,359.125
adelaide st,strachan ave,210.71875
alton ave,dundas st e,276.84375
amberley dr,terraview blvd,52.8125
amoro dr,westhumber blvd,110
amsterdam ave,o connor dr,267.75
amsterdam ave,westview blvd,20.3125
ancona st,finch ave w,374.875
anderson ave,duplex ave,118.0625
annette st,keele st,588.21875
annette st,quebec ave,242.25
annette st,runnymede rd,421.3125
antler st,franklin ave,28.84375
applefield dr s,brimley rd and st andrews rd,339.34375
archer rd,browside ave,29.3125
arlington ave,vaughan rd,282.4375
arrow rd,deerhide cres (north int),266.09375
ashdale ave,fairford ave,75.5625
ashtonbee rd,thermos rd,273.875
atlas ave,ava rd,73.34375
augusta ave,wales ave,39.53125
austin ter,spadina rd,200.78125
ava rd,winnett ave,89.84375
avenue rd,chaplin cres,493.78125
avenue rd,highway  s tcs,793.09375
avenue rd,lawrence ave,906.375
avenue rd,st clair ave w,710.21875
avenue rd,wilson ave,1030.03125
bartlett ave n,geary ave,122.8125
bathurst st,front st,364.875
bathurst st,lawrence ave,822.46875
bathurst st,saranac blvd,553.375
bathurst st,sheppard ave,932.15625
bathurst st,wilson ave,1036.375
bay st,bloor st w,851.9375
bay st,college st,773.375
bay st,queen st w,648.75
bay st,wellesley st w,629.03125
bayview ave,front st e,131
bayview ave,mill st,99.75
bayview ave,river st ramp,282.125
bayview ave,rosedale valley rd,556.875
beechborough ave,glenhaven st,128.625
beecroft rd,north york blvd,229.5625
bellamy rd n,eglinton ave e / go station,403.90625
bellechasse st,benshire dr,22.46875
belsize dr,yonge st,330.21875
benbow rd w,saskatoon dr,18.75
benton rd,lawrence ave,655.03125
berekely st,richmond st e,333.28125
berkeley st and hahn pl,the esplanade,149.75
berkeley st,front st,405.03125
berkeley st,king st e,192.375
berkeley st,queen st,184.28125
berkeley st,shuter st,127.09375
bernadine st,doerr rd,26.0625
berwick ave,duplex ave,120.71875
beta st,evans ave,330.1875
beverley st,cecil st,263.3125
beverley st,d arcy st,214.65625
beverley st,queen st w,422.34375
birchcliff ave,kingston rd,348.25
birchmount rd,finch ave e,758.21875
birchmount rd,highview ave,198.75
birchmount rd,huntingwood dr,482.65625
birchmount rd,sheppard ave,744.6875
birmingham st,islington ave,278.75
black creek dr,eglinton ave,717.71875
black creek dr,lawrence ave,1170.3125
blackwell ave,tapscott rd,124.4375
blantyre ave,parkland rd,55.34375
blantyre ave,windsor ave,45.65625
bloor st,concord ave,297.84375
bloor st,delaware ave,306.96875
bloor st,dorval rd,315.1875
bloor st,ellis park rd,337.96875
bloor st,gladstone ave,372.5625
bloor st,huntley st,483.90625
bloor st,montrose ave,338.34375
bloor st,ossington ave,600.46875
bloor st,parliament st,657.53125
bloor st,salem ave,307.125
bloor st,shaver ave,377.59375
bloor st,yonge st,678.59375
bloor st e,castle frank rd,686.75
bloor st e,church st,742.125
bloor st e,sherbourne st,646.75
bloor st w,brock ave e,298.78125
bloor st w,brock ave w,328.28125
bloor st w,dovercourt rd,573.53125
bloor st w,dufferin st,744.84375
bloor st w,dundas st w,495.40625
bloor st w,emerson ave,316
bloor st w,kennedy park rd,421.1875
bloor st w,lansdowne ave,560.4375
bloor st w,laurel ave,336.15625
bloor st w,margueretta st e,322.84375
bloor st w,oakmount rd,365.375
bloor st w,parkview gnds,302.6875
bloor st w,runnymede rd,618.5
bloor st w,shaw st,413
bloor st w,symington ave,366.15625
blossomfield dr,lawrence ave w,486.84375
bond ave,leslie st,414.34375
bond st,dundas st e,309.1875
booth ave,eastern ave,405.8125
boulton ave,dundas st,231.3125
bradley ave,jane st,312.21875
bremner blvd,lower simcoe st,265.03125
bremner blvd,spadina ave and fort york blvd,770.5
briar hill ave,newgate rd,23.4375
bridlewood blvd,wicklow dr e,33.96875
brimley rd,chillery ave,310.65625
