location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
1146,ELLESMERE RD AT PARKINGTON CRES (PX 2296),-79.2462530048635,43.7733179960439,2,13446642,2296,33447,2016-04-05
1981,YORK MILLS RD E/B & W/B TO DON VALLEY PKWY N/B,-79.3346850770429,43.7573316225667,1,440171,,13907,2004-04-08
3925,RIPLEY AVE AT SOUTH KINGSWAY,-79.475273511,43.636780118,2,13468657,,6875,1998-02-12
3926,BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334),-79.485752005821,43.6483120026845,2,13467247,334,38297,2019-01-26
3927,LAKE SHORE BLVD AT LESLIE ST (PX 206),-79.3284359942956,43.6592350040891,2,13465121,206,30067,2013-05-27
3928,BRITISH COLUMBIA RD AT LAKE SHORE BLVD (PX 1344),-79.4291809988533,43.6314309959933,2,13469154,1344,36533,2018-01-24
3929,JAMESON AVE AT LAKE SHORE BLVD W/B (PX 224),-79.4345630018803,43.6333410037216,2,13468970,224,36339,2017-10-03
3930,LAKE SHORE BLVD AT ONTARIO DR & REMEMBRANCE DR (PX 930),-79.4197830044259,43.6304250031894,2,13469216,930,36535,2018-01-24
3931,LAKE SHORE BLVD AT STRACHAN AVE (PX 222),-79.4087449965524,43.6344420021858,2,13468803,222,36539,2018-01-24
3932,BASTION ST AT FLEET ST AND LAKE SHORE BLVD W (PX 299),-79.4035489951616,43.6359130003157,2,20054541,299,27543,2011-05-26
3933,LAKE SHORE BLVD AT REES ST (PX 1408),-79.3870359960738,43.6399280004486,2,13468195,1408,37143,2018-04-04
3934,LAKE SHORE BLVD W AT LONG BRANCH AVE (PX 240),-79.5340159965817,43.5943610013999,2,13470639,240,39943,2020-02-25
3935,AVENUE RD AT LONSDALE RD (PX 113),-79.4030170045103,43.6907820016224,2,13459836,113,33733,2016-04-16
3936,LAKE SHORE BLVD AT LEGION RD (PX 1994),-79.4832669971345,43.6205110006419,2,13469793,1994,40587,2020-07-28
3937,CHRISTIE COOKIES ACCESS AT LAKE SHORE BLVD E OF PARKLAWN(PX 1784),-79.4797000042544,43.6260100017941,1,30070006,1784,34509,2016-10-06
3938,DON VALLEY PKWY AT WYNFORD DR WTCS (PX 1037),-79.3308889961383,43.726666996727,2,13453914,1037,26267,2010-08-16
3939,BLACK CREEK DR AT EGLINTON AVE (PX 1422),-79.4828779988047,43.688367998834,2,13460466,1422,41169,2020-11-04
3940,BLACK CREEK DR AT LAWRENCE AVE (PX 1348),-79.494096001504,43.7049499965318,2,13457600,1348,40781,2020-03-10
3941,FOUR OAKS GT AT O CONNOR DR (PX 1923),-79.3342229973016,43.696750000693,2,13458523,1923,29545,2013-01-08
3942,NORTHRIDGE AVE AT O CONNOR DR,-79.333805658,43.696820175,2,13458504,,21649,2007-11-05
3943,O CONNOR DR AT ST CLAIR AVE (PX 447),-79.3128359943946,43.7053959980044,2,13457092,447,35803,2017-04-22
3944,O CONNOR DR AT WAKUNDA PL,-79.304939369,43.715986751,2,13455374,,37829,2018-10-31
3946,BIRCHCLIFF AVE AT KINGSTON RD (PX 155),-79.2647509985246,43.6914790024334,2,13459344,155,41523,2021-03-17
3947,KINGSTON RD AT SANDOWN AVE (PX 152),-79.2497689980509,43.7087759987456,2,13456405,152,24919,2009-12-03
3948,KINGSTON RD AT MIDLAND AVE (PX 151),-79.2481870018825,43.7111209991031,2,13456025,151,26099,2010-06-24
3949,CHINE DR AT KINGSTON RD (PX 1025),-79.2450729942296,43.7141140000291,2,13455525,1025,26317,2010-09-16
3950,BROOKLAWN AVE AT KINGSTON RD & ST CLAIR AVE (PX 150),-79.2360189952118,43.7220320020003,2,13454337,150,34967,2016-12-14
3951,BELLAMY RD S AT KINGSTON RD & RAVINE DR (PX 1027),-79.2245689939618,43.7320600037298,2,13452797,1027,25953,2010-05-27
3952,KINGSTON RD AT SCARBOROUGH GOLF CLUB RD (PX 1053),-79.2093489960157,43.7460020040789,2,13450532,1053,40889,2020-09-26
3953,KINGSTON RD AT LAWRENCE AVE (PX 144),-79.1896089953668,43.7676529995469,2,13447347,144,40913,2020-09-26
3954,CELESTE DR AT KINGSTON RD (PX 1193),-79.1992990010273,43.757038997684,2,13448888,1193,24889,2009-12-01
3955,COLLINSGROVE RD AT KINGSTON RD,-79.185033109,43.772607845,2,13446613,,29537,2012-12-20
3956,BROOKSIDE DR AT KINGSTON RD & WAVERLEY RD (PX 161),-79.3041039961247,43.676950004437,2,13462091,161,33815,2015-11-11
3957,KINGSTON RD AT MAIN ST & SOUTHWOOD DR (PX 160),-79.2980229987127,43.6788850018198,2,13461728,160,35823,2017-04-22
3958,HIGHWAY 2A AT KINGSTON RD & HIGHWAY 401 EB OFF RAMP (PX 1202),-79.1525300006248,43.7948870036618,2,13503044,1202,37255,2018-05-26
3959,MILLWICK DR AT MILVAN DR (PX 1558),-79.5660649995394,43.7605860004521,2,13449110,1558,28375,2012-02-14
3960,BELMONT ST AT DAVENPORT RD & NEW ST (PX 541),-79.3929230000772,43.6747090030653,2,13462718,541,39745,2020-02-11
3961,SENECA AVE AT WESTON RD,-79.47548671,43.680345357,2,13461911,,6911,1998-11-26
3963,SIDNEY BELSEY CR AT WESTON RD (PX 2153),-79.504670996166,43.6932440003575,2,13459646,2153,39035,2019-06-19
3964,BUTTONWOOD AVE AT WESTON RD,-79.501150605,43.691397921,2,13459949,,6914,1998-07-08
3965,REUBEN AVE AT WALLASEY AVE & WESTON RD,-79.537737274,43.71878954,2,13455435,,6915,1998-02-26
3966,SHEPPARD AVE AT WESTON RD (PX 588),-79.5382280046582,43.7337459993772,2,13453198,588,30785,2014-03-19
3967,CHURCH ST AT WESTON RD (PX 583),-79.5254460030556,43.7030060023901,2,13457985,583,29811,2013-04-22
3968,FINCH AVE AT WESTON RD (PX 589),-79.5423800036705,43.7520890023072,2,13450342,589,29613,2013-02-21
3969,HIGHWAY 27 AT HUMBER COLLEGE BLVD (PX 1162),-79.6014430060563,43.7304680042665,2,13453882,1162,31509,2014-11-26
