street,avg_volume
adelaide st,1448
alton ave,276.84375
amberley dr,52.8125
amoro dr,110
amsterdam ave,288.0625
ancona st,374.875
anderson ave,118.0625
annette st,1251.78125
antler st,28.84375
applefield dr s,339.34375
archer rd,29.3125
arlington ave,282.4375
arrow rd,266.09375
ashdale ave,75.5625
ashtonbee rd,273.875
atlas ave,73.34375
augusta ave,39.53125
austin ter,200.78125
ava rd,163.1875
avenue rd,3933.5
bartlett ave n,122.8125
bathurst st,4099.09375
bay st,2903.09375
bayview ave,1069.75
beechborough ave,128.625
beecroft rd,229.5625
bellamy rd n,403.90625
bellechasse st,22.46875
belsize dr,330.21875
benbow rd w,18.75
benshire dr,22.46875
benton rd,655.03125
berekely st,333.28125
berkeley st,1172.5625
berkeley st and hahn pl,149.75
bernadine st,26.0625
berwick ave,120.71875
beta st,330.1875
beverley st,900.3125
birchcliff ave,348.25
birchmount rd,2184.3125
birmingham st,278.75
black creek dr,1888.03125
blackwell ave,124.4375
blantyre ave,101
bloor st,5074.09375
bloor st e,2075.625
bloor st w,7315.125
blossomfield dr,486.84375
bond ave,414.34375
bond st,309.1875
booth ave,405.8125
boulton ave,231.3125
bradley ave,312.21875
bremner blvd,1035.53125
briar hill ave,23.4375
bridlewood blvd,33.96875
brimley rd,4164.4375
brimley rd and st andrews rd,339.34375
brimwood blvd,264.8125
bristol ave,109.71875
britannia ave,419.09375
broadview ave,2878.71875
broadway ave,444.75
brock ave,316.65625
brock ave e,298.78125
brock ave w,328.28125
brookhaven dr,343.59375
brookside ave,41.21875
brownlow ave,311.3125
browside ave,29.3125
burbank dr,77.0625
burnview cres,562.21875
burrard rd,83.8125
calvington dr,580.375
cameron ave,42.84375
camilla cres,298.59375
carlaw ave,69.28125
carlton st,733.96875
carroll st,219.59375
castle frank rd,686.75
castle view ave,204.5
cataraqui cres,215.34375
cecil st,263.3125
cedar dr,289.46875
cedarvale ave,9.3125
chandler dr,12.75
chaplin cres,907.21875
chapman ave,244.28125
charles st,508.28125
charles st e,365.375
chatham ave,24.21875
cheritan ave,146.375
cherry st,439.625
chillery ave,310.65625
church st,2970.15625
citation dr,77.0625
civic centre crt,166.6875
clairton cres s,340.28125
clanton park rd,101.59375
cleveland st,236.65625
cliffwood rd n,291.25
clyde ave,357.25
colbeck st,318.8125
colborne lodge dr,442.4375
college st,2715.46875
columbia gt,68.78125
comstock rd,460.25
concord ave,297.84375
conway ave,262.8125
coolhurst dr,23.0625
coral gable dr,432.78125
cornell ave and goldwin ave,431.46875
corona st,505
cosburn ave,537.34375
courcelette rd,37.78125
cowan ave,281.125
coxwell ave,1000.34375
crescent rd,400
culford rd,706.0625
cummer ave,145.40625
d arcy st,214.65625
dan leckie way,1042.75
dane ave,555.1875
danforth ave,7710.40625
danforth rd,1472.3125
davenport rd,295.1875
davisville ave,568.71875
dawes rd,650.71875
de grassi st,217.53125
deerfield rd,316.53125
deerhide cres (north int),266.09375
delaware ave,306.96875
delaware ave n,55.46875
delburn dr,55.09375
delsing dr,121.15625
dewhurst blvd n,22.875
dixon rd,975.625
doerr rd,26.0625
dohme ave,21.40625
don mills rd,683.3125
don rdwy,379.3125
don valley parkway n ramp,257.78125
donlands ave,1039.46875
dorval rd,315.1875
dovehouse ave,68.9375
dovercourt rd,808.84375
dufferin st,6896.75
dufflaw rd,455.3125
duncairn road,99.4375
dundas st,4923.90625
dundas st e,2977.3125
dundas st w,2643.0625
duplex ave,1518.0625
dupont st,1596.875
durant ave,55.71875
durie st,80.96875
duval dr,641.46875
earlington ave,38.09375
east ave,102.9375
eastern ave,1862.0625
eastern ave diversion,700.53125
edge park ave,37.875
edwin ave,360.53125
eglinton ave,3901.40625
eglinton ave e,1194.625
eglinton ave e / go station,403.90625
elizabeth st,515.46875
ellesmere rd,223.40625
